Data,UF,Total_Focos,Qtd_Municipios_Com_Fogo,Media_Focos_Mun_Com_Fogo,FRP_Medio,FRP_Soma,FRP_Maximo,Risco_Fogo_Medio,Dias_Secos_Medio,Precipitacao_Media,Temp_Max_Media,Temp_Min_Media,Umidade_Relativa_Media,VPD_Medio,Evapotranspiracao_Media,Radiacao_Solar_Media,Velocidade_Vento_Media,SERRA_DO_MOA_12400000,FEIJÓ_12650000,MANOEL_URBANO_13180000,SERINGAL_SÃO_JOSÉ_13300000,SERINGAL_GUARANY_13405000,ASSIS_BRASIL_13450000,BRASILÉIA_13470000,XAPURI_13550000,RIO_BRANCO_13600002
2000-01,AC,0.0,0.0,-,-,-,-,-,-,223.08,30.8,21.77,88.57,0.39,98.13,457.96,0.56,427.31,802.79,814.65,688.29,1167.13,384.24,434.55,545.81,853.05
2000-02,AC,0.0,0.0,-,-,-,-,-,-,255.39,30.9,21.47,88.1,0.41,89.57,418.15,0.51,451.22,958.62,1006.05,715.48,1307.88,325.74,387.31,544.07,868.81
2000-03,AC,11.0,4.0,2.75,-,0.0,-,-,-,239.2,30.86,21.55,88.29,0.4,92.23,433.68,0.47,448.19,910.21,875.02,811.4,1139.37,400.68,470.06,604.56,968.42
2000-04,AC,1.0,1.0,1.0,-,0.0,-,-,-,219.25,30.82,21.46,88.91,0.38,87.57,422.61,0.46,492.23,902.43,901.8,761.92,960.7,310.28,302.85,455.43,696.87
2000-05,AC,1.0,1.0,1.0,-,0.0,-,-,-,80.41,30.71,20.43,87.33,0.42,86.65,434.45,0.49,450.55,670.39,785.47,640.56,681.89,327.0,285.6,378.56,497.58
2000-06,AC,1.0,1.0,1.0,-,0.0,-,-,-,58.07,30.44,19.56,86.35,0.44,78.03,395.53,0.55,398.8,532.05,471.93,382.45,301.73,245.12,235.25,326.93,361.05
2000-07,AC,1.0,1.0,1.0,-,0.0,-,-,-,60.93,29.94,17.95,83.43,0.5,89.37,477.09,0.54,396.13,479.85,453.16,362.6,267.27,230.5,221.55,279.79,308.03
2000-08,AC,139.0,11.0,12.64,-,0.0,-,-,-,66.94,32.18,19.6,84.05,0.55,103.68,516.05,0.46,391.81,516.19,453.44,357.35,249.47,244.9,222.95,290.0,295.84
2000-09,AC,277.0,16.0,17.31,-,0.0,-,-,-,89.0,32.64,20.05,82.69,0.6,106.78,509.5,0.57,361.52,544.1,415.78,367.55,214.0,229.57,195.28,253.18,237.97
2000-10,AC,21.0,8.0,2.62,-,0.0,-,-,-,186.6,32.5,21.41,86.62,0.48,107.46,503.46,0.44,398.19,646.6,515.74,390.16,346.13,243.16,258.68,331.44,317.19
2000-11,AC,5.0,4.0,1.25,13.2,66.0,18.1,-,-,180.46,31.86,22.1,87.03,0.47,101.84,469.5,0.61,364.62,686.53,595.3,555.0,596.65,302.6,321.23,424.05,470.38
2000-12,AC,0.0,0.0,1.2,13.68,55.92,17.6,-,-,183.01,31.9,22.17,87.31,0.46,108.08,505.41,0.48,377.08,616.81,689.18,558.68,540.42,270.24,256.19,315.66,412.74
2001-01,AC,0.0,0.0,1.15,14.16,45.84,17.1,-,-,320.86,30.27,21.78,90.11,0.34,96.19,454.74,0.47,459.21,792.44,905.65,855.16,1020.5,421.77,557.42,629.16,847.08
2001-02,AC,0.0,0.0,1.1,14.64,35.76,16.6,-,-,264.35,30.5,22.06,90.01,0.34,83.47,390.3,0.44,389.04,868.57,889.43,851.79,1086.71,324.61,450.18,562.7,837.43
2001-03,AC,0.0,0.0,1.05,15.12,25.68,16.1,-,-,257.0,30.88,22.04,89.85,0.35,91.16,425.66,0.44,383.1,972.55,814.55,883.84,964.79,458.29,629.79,846.42,1257.4
2001-04,AC,1.0,1.0,1.0,15.6,15.6,15.6,-,-,189.69,31.57,21.91,89.31,0.38,98.45,477.34,0.47,473.7,885.47,786.18,642.37,955.81,419.53,507.25,514.37,831.15
2001-05,AC,0.0,0.0,1.0,13.82,7.8,15.9,-,-,78.73,30.49,20.85,90.08,0.33,88.49,445.0,0.52,402.98,599.48,534.13,532.94,451.19,278.48,397.76,357.69,436.53
2001-06,AC,1.0,1.0,1.0,12.04,0.0,16.2,-,-,72.45,29.76,17.97,87.39,0.37,82.26,440.76,0.5,380.86,555.83,524.98,490.7,376.8,234.58,278.83,325.57,381.99
2001-07,AC,8.0,4.0,2.0,10.26,51.3,16.5,-,-,63.11,30.47,19.46,87.1,0.41,90.09,475.28,0.35,373.06,524.73,460.32,455.37,277.94,218.6,199.42,280.69,309.21
2001-08,AC,874.0,20.0,43.7,25.24,11431.9,417.3,-,-,24.9,33.4,19.46,80.22,0.68,114.89,585.33,0.37,343.18,520.98,418.46,416.57,205.09,209.18,182.45,262.27,258.45
2001-09,AC,763.0,19.0,40.16,31.13,14165.8,511.6,-,-,108.78,32.69,20.92,84.03,0.57,107.07,513.04,0.46,365.34,519.48,408.81,426.29,194.48,209.7,180.18,254.67,249.8
2001-10,AC,343.0,15.0,22.87,22.77,4576.9,128.4,-,-,178.69,32.9,22.15,84.44,0.58,119.96,559.84,0.55,390.15,530.42,470.92,504.04,234.1,243.29,222.77,329.08,319.52
2001-11,AC,3.0,2.0,1.5,14.4,28.8,16.6,-,-,182.63,31.89,23.02,87.52,0.46,108.68,504.26,0.63,380.7,680.02,644.45,541.27,311.65,338.82,362.17,493.17,519.03
2001-12,AC,2.0,1.0,2.0,18.85,37.7,19.0,-,-,284.84,30.69,22.32,87.92,0.42,99.8,464.86,0.58,465.0,965.68,963.44,787.66,915.58,456.34,495.52,681.61,821.26
2002-01,AC,0.0,0.0,1.5,14.48,23.9,14.55,-,-,232.4,31.12,22.38,86.35,0.48,108.08,505.68,0.59,396.63,921.59,938.03,796.34,827.67,486.95,629.77,740.06,890.22
2002-02,AC,2.0,2.0,1.0,10.1,10.1,10.1,-,-,273.6,30.89,22.49,87.98,0.42,89.43,414.69,0.59,478.73,1007.99,1049.89,986.38,1356.81,382.21,633.66,803.27,1144.28
2002-03,AC,4.0,1.0,4.0,9.32,37.3,14.4,-,-,240.73,30.88,22.32,87.74,0.43,101.8,480.47,0.62,424.1,954.4,973.45,838.63,1044.44,390.61,530.65,706.35,1006.1
2002-04,AC,0.0,0.0,4.22,11.04,294.92,25.38,-,-,237.66,30.71,22.08,87.63,0.43,93.9,454.44,0.55,483.66,894.13,888.95,840.4,1040.37,349.63,470.27,615.63,840.12
2002-05,AC,0.0,0.0,4.44,12.75,552.55,36.35,-,-,123.35,30.8,21.7,86.7,0.46,93.36,468.03,0.49,440.35,757.83,743.55,594.32,674.65,297.43,345.89,507.0,653.3
2002-06,AC,0.0,0.0,4.66,14.46,810.18,47.32,-,-,39.15,29.87,19.37,84.6,0.48,88.0,465.67,0.63,371.82,576.6,633.63,387.2,347.55,241.72,231.4,369.37,391.33
2002-07,AC,83.0,17.0,4.88,16.18,1067.8,58.3,-,-,55.68,30.37,19.52,83.03,0.54,91.88,472.04,0.66,377.42,482.35,548.23,337.4,232.82,238.41,230.22,310.52,325.35
2002-08,AC,1732.0,22.0,78.73,44.36,63918.8,919.2,-,-,78.94,32.64,20.24,81.52,0.64,104.9,518.15,0.52,345.29,490.45,452.3,325.91,210.44,220.97,208.09,301.47,297.58
2002-09,AC,6029.0,22.0,274.05,43.48,211333.0,1642.7,-,-,92.39,32.47,20.89,80.59,0.68,112.39,538.87,0.59,368.34,524.98,417.37,313.4,230.43,218.2,201.34,284.91,277.7
2002-10,AC,1397.0,21.0,66.52,36.4,41566.8,779.7,-,-,166.26,32.7,21.91,82.55,0.64,119.73,554.49,0.78,368.89,566.42,416.26,383.13,232.91,246.84,224.18,321.68,302.9
2002-11,AC,182.0,17.0,10.71,32.32,5170.5,245.3,-,-,196.49,31.5,21.4,85.05,0.52,105.33,492.72,0.68,420.49,602.57,493.9,415.18,394.92,278.17,269.01,346.26,351.51
2002-12,AC,3.0,3.0,1.0,8.63,25.9,12.1,-,-,244.59,30.33,22.52,87.83,0.42,94.98,438.66,0.61,412.58,821.84,711.74,676.3,697.65,390.76,379.35,484.99,527.02
2003-01,AC,15.0,6.0,2.5,29.76,416.7,149.9,-,-,255.96,31.4,22.36,86.03,0.5,103.24,473.78,0.66,403.06,819.53,789.97,808.95,978.92,411.22,473.49,651.37,776.9
2003-02,AC,0.0,0.0,1.75,26.13,208.35,110.53,-,-,260.61,30.53,21.89,86.65,0.46,87.35,403.06,0.72,438.46,962.87,897.96,914.25,1188.14,444.26,488.97,670.31,1133.38
2003-03,AC,2.0,2.0,1.0,22.51,0.0,71.17,-,-,257.13,30.55,22.03,87.38,0.43,96.0,447.99,0.69,453.65,854.69,777.95,792.61,981.31,530.35,554.85,711.15,1062.56
2003-04,AC,5.0,3.0,1.67,18.88,94.4,31.8,-,-,189.75,30.77,21.56,86.63,0.46,91.88,440.43,0.7,428.71,769.12,641.84,714.67,1057.88,485.89,488.46,595.6,838.88
2003-05,AC,19.0,7.0,2.71,14.31,257.6,37.5,-,-,140.83,30.8,21.2,85.93,0.48,90.87,448.29,0.62,431.89,545.87,385.16,483.87,487.58,309.1,260.73,372.43,428.74
2003-06,AC,20.0,9.0,2.22,9.42,179.0,16.2,-,-,78.86,31.19,20.55,85.67,0.48,85.12,431.5,0.56,410.8,450.62,529.53,383.92,434.32,249.17,214.38,324.3,351.63
2003-07,AC,774.0,21.0,36.86,37.54,19521.9,920.7,-,-,36.87,31.37,18.37,80.58,0.62,100.55,530.64,0.59,374.81,438.24,436.61,341.19,228.68,224.21,193.68,283.71,283.69
2003-08,AC,5945.0,22.0,270.23,49.39,206646.2,2554.9,-,-,59.76,31.08,18.52,79.83,0.63,103.04,517.8,0.68,341.71,429.11,409.18,324.97,188.65,213.47,176.39,271.89,259.37
2003-09,AC,8561.0,22.0,389.14,41.59,265703.9,755.3,-,-,119.19,32.31,19.96,80.81,0.65,105.07,499.81,0.66,346.51,442.93,425.68,322.58,186.32,218.32,182.42,279.36,259.21
2003-10,AC,1563.0,22.0,71.05,45.52,52570.4,1566.9,-,-,160.48,32.48,21.75,82.43,0.64,116.61,542.58,0.66,357.24,472.42,506.55,501.69,280.13,340.78,302.35,426.43,423.43
2003-11,AC,49.0,12.0,4.08,28.94,1099.9,349.3,-,-,185.03,31.97,21.91,84.87,0.54,110.26,509.27,0.79,392.17,728.79,517.82,451.18,519.1,297.67,301.61,433.22,492.66
2003-12,AC,17.0,10.0,1.7,9.08,54.5,13.6,-,-,248.67,31.53,22.5,85.7,0.52,109.8,509.33,0.64,423.39,810.65,637.56,525.65,570.84,319.16,310.16,381.88,420.73
2004-01,AC,4.0,3.0,1.33,15.16,0.0,25.4,-,-,253.14,31.25,22.56,86.44,0.48,102.7,473.63,0.64,511.42,930.74,840.87,985.09,856.52,442.45,512.27,743.55,1018.01
2004-02,AC,6.0,2.0,3.0,21.25,85.0,37.2,-,-,247.49,30.96,22.09,86.99,0.46,94.82,440.0,0.68,370.41,790.79,723.82,806.07,1098.85,423.66,544.07,799.06,1098.36
2004-03,AC,0.0,0.0,3.0,16.38,94.35,31.65,-,-,278.42,30.96,22.62,88.26,0.42,95.56,442.64,0.66,401.68,810.39,802.17,793.54,1277.33,413.54,417.12,560.89,937.27
2004-04,AC,9.0,3.0,3.0,11.52,103.7,26.1,-,-,162.79,31.39,22.44,87.04,0.46,94.18,445.44,0.65,420.18,945.33,746.96,954.78,804.39,358.77,354.12,477.18,809.67
2004-05,AC,23.0,7.0,3.29,13.89,319.4,40.5,-,-,90.21,28.54,19.63,87.32,0.39,81.55,409.04,0.86,413.92,621.92,518.24,558.46,451.84,272.38,299.02,320.84,422.36
2004-06,AC,18.0,9.0,2.0,10.94,186.0,31.0,-,-,67.61,29.92,19.34,85.77,0.44,79.6,413.87,0.53,366.68,485.38,511.76,372.4,283.88,219.09,243.92,268.21,320.0
2004-07,AC,132.0,17.0,7.76,31.72,3331.1,488.0,-,-,72.77,30.24,19.47,83.07,0.54,91.5,473.79,0.6,368.55,554.1,504.77,357.16,238.35,234.31,195.65,279.81,299.37
2004-08,AC,1713.0,22.0,77.86,40.6,46117.4,822.7,-,-,71.76,31.84,19.22,80.84,0.63,98.66,492.08,0.53,375.85,427.13,443.97,324.32,197.32,233.28,180.58,259.2,248.16
2004-09,AC,8267.0,22.0,375.77,44.42,271382.5,1178.2,-,-,84.89,32.26,20.4,80.82,0.66,99.41,459.49,0.62,402.07,498.91,471.05,335.23,232.65,231.12,175.82,258.87,242.32
2004-10,AC,1069.0,20.0,53.45,38.76,27284.8,409.1,-,-,166.4,31.95,22.13,84.82,0.55,113.03,526.93,0.64,374.34,713.06,616.49,390.1,351.32,243.1,193.32,271.35,264.19
2004-11,AC,51.0,16.0,3.19,22.1,596.8,92.9,-,-,220.34,31.19,22.04,86.34,0.48,102.84,477.77,0.69,424.47,630.83,783.83,568.8,934.78,324.8,299.96,395.18,450.2
2004-12,AC,16.0,5.0,3.2,54.43,598.7,128.5,-,-,247.94,30.92,22.48,86.48,0.48,98.45,451.84,0.64,421.58,774.82,1062.71,603.81,998.26,296.28,329.48,475.73,645.32
2005-01,AC,30.0,7.0,4.29,33.6,672.0,136.7,-,-,208.86,31.5,22.65,86.2,0.5,110.05,510.47,0.64,466.0,755.23,1186.3,595.95,1022.35,304.98,341.48,445.06,588.65
2005-02,AC,1.0,1.0,1.0,22.78,0.0,77.4,-,-,293.85,30.61,22.63,88.06,0.42,85.52,393.38,0.63,473.82,990.51,1055.86,958.01,1312.46,453.4,519.08,710.42,998.88
2005-03,AC,13.0,9.0,1.44,11.96,59.8,18.1,-,-,230.53,31.0,22.54,87.42,0.45,97.74,455.25,0.6,447.49,1038.93,871.81,666.95,963.23,301.44,310.09,443.73,761.63
2005-04,AC,3.0,3.0,1.0,16.45,32.9,22.5,-,-,167.57,30.71,21.93,86.81,0.46,92.33,437.72,0.64,419.26,800.95,780.61,604.88,705.02,285.7,279.27,423.88,712.52
2005-05,AC,29.0,14.0,2.07,8.14,154.6,18.6,-,-,86.58,31.53,21.6,85.06,0.52,98.37,489.16,0.55,373.19,698.3,668.12,403.92,398.73,185.81,175.89,283.17,412.06
2005-06,AC,89.0,18.0,4.94,19.53,1679.7,179.6,-,-,34.46,31.34,20.33,82.97,0.57,92.48,481.23,0.46,419.57,429.4,540.67,355.11,212.64,193.07,159.93,248.42,259.85
2005-07,AC,1656.0,22.0,75.27,28.09,39245.1,416.3,-,-,15.86,31.5,17.32,77.65,0.69,105.3,563.8,0.68,391.82,365.52,445.79,333.52,177.69,196.21,150.52,235.04,219.91
2005-08,AC,15495.0,22.0,704.32,47.36,496852.7,1755.7,-,-,34.75,33.15,19.0,72.08,0.94,110.63,532.27,0.69,338.3,364.24,418.0,315.71,163.63,195.56,142.43,222.35,183.52
2005-09,AC,14905.0,22.0,677.5,47.68,470367.8,3497.0,-,-,57.29,33.56,18.7,72.75,0.94,113.92,510.69,0.94,330.78,369.06,433.61,310.68,155.6,192.82,140.43,220.37,170.98
2005-10,AC,2158.0,20.0,107.9,50.35,65049.2,898.0,-,-,184.49,32.97,22.0,80.77,0.72,116.96,526.71,0.81,333.0,479.82,519.92,372.23,246.02,215.31,187.6,278.76,244.19
2005-11,AC,85.0,20.0,4.25,23.69,1160.6,138.2,-,-,206.4,31.73,22.31,84.24,0.57,109.9,509.26,0.73,366.78,706.38,590.52,587.55,424.58,269.64,251.05,415.8,449.32
2005-12,AC,15.0,8.0,1.88,22.76,159.3,30.2,-,-,217.02,30.9,22.32,86.07,0.49,103.87,478.97,0.79,380.29,870.21,609.03,660.05,754.86,431.36,339.54,501.06,760.45
2006-01,AC,9.0,4.0,2.25,29.76,208.3,68.8,-,-,237.66,30.81,22.21,86.43,0.48,103.15,477.35,0.73,372.94,846.91,790.53,801.22,1053.28,416.23,431.74,590.23,849.9
2006-02,AC,9.0,4.0,2.25,23.7,47.4,33.8,-,-,292.04,30.6,22.39,88.35,0.41,88.14,408.1,0.71,415.79,994.73,896.88,879.85,1290.09,544.16,613.17,914.97,1383.09
2006-03,AC,1.0,1.0,1.0,17.15,0.0,22.9,-,-,220.78,31.12,22.43,87.7,0.44,98.44,458.12,0.64,450.39,881.05,759.37,592.91,968.0,300.99,348.14,509.52,937.03
2006-04,AC,5.0,3.0,1.67,10.6,21.2,12.0,-,-,204.13,30.61,21.76,87.62,0.42,89.94,429.82,0.65,413.49,892.47,747.37,634.8,998.26,350.6,366.55,540.7,953.63
2006-05,AC,89.0,17.0,5.24,18.54,1223.9,175.2,-,-,59.71,29.38,18.34,82.68,0.51,90.46,467.4,0.79,342.07,517.04,528.13,466.42,297.21,227.56,187.06,277.1,407.16
2006-06,AC,37.0,12.0,3.08,11.55,392.8,43.6,-,-,48.05,31.16,20.19,83.26,0.55,89.2,460.99,0.54,347.08,487.48,528.9,545.07,208.72,275.02,205.42,278.87,328.74
2006-07,AC,278.0,22.0,12.64,28.94,6424.4,547.7,-,-,44.53,32.61,19.1,77.95,0.73,107.29,555.37,0.57,328.08,401.06,443.97,510.82,166.69,211.31,156.86,234.19,240.19
2006-08,AC,2179.0,22.0,99.05,36.71,61533.2,1272.9,-,-,43.87,33.32,19.74,77.96,0.76,111.07,544.59,0.58,321.47,385.53,464.13,444.02,158.82,208.94,146.81,235.95,220.73
2006-09,AC,5743.0,22.0,261.05,45.14,195572.1,2718.3,-,-,78.23,33.13,20.49,76.19,0.84,117.18,541.96,0.76,323.94,331.72,435.05,312.3,149.98,212.65,142.3,234.8,216.73
2006-10,AC,775.0,21.0,36.9,36.73,23472.0,656.8,-,-,146.79,32.3,22.29,83.49,0.6,111.28,511.54,0.66,357.74,527.84,641.46,534.47,278.06,231.35,194.33,296.81,306.97
2006-11,AC,101.0,18.0,5.61,22.0,1451.8,229.5,-,-,224.25,31.86,21.96,85.31,0.52,107.26,498.63,0.67,422.76,738.98,781.22,760.87,596.03,270.58,220.9,402.68,409.78
2006-12,AC,6.0,5.0,1.2,13.95,0.0,117.7,-,-,281.26,30.56,22.62,87.34,0.44,96.34,444.16,0.63,438.76,762.29,813.09,706.26,702.56,323.64,284.01,496.74,799.89
2007-01,AC,5.0,4.0,1.25,5.9,5.9,5.9,-,-,253.98,30.87,22.72,86.97,0.47,102.44,474.37,0.62,450.31,986.66,1011.23,839.16,1203.97,277.5,337.39,545.77,965.74
2007-02,AC,25.0,5.0,5.0,17.06,238.9,40.0,-,-,208.93,31.23,22.39,84.63,0.55,98.91,459.81,0.62,382.77,938.95,1015.99,978.18,940.59,490.3,488.55,674.89,1001.73
2007-03,AC,5.0,2.0,2.5,8.42,42.1,16.5,-,-,219.0,30.89,22.28,86.6,0.47,100.19,469.81,0.61,477.6,844.4,999.31,971.74,1000.7,485.29,468.56,675.22,1093.54
2007-04,AC,10.0,5.0,2.0,12.03,108.3,25.5,-,-,179.05,31.03,21.91,86.74,0.46,93.44,447.45,0.61,496.2,876.85,978.25,835.7,929.48,373.02,391.78,501.22,830.95
2007-05,AC,16.0,8.0,2.0,12.38,198.0,73.3,-,-,116.06,29.69,19.52,85.27,0.46,89.99,459.35,0.7,412.77,885.89,845.44,787.35,904.38,269.07,295.99,429.89,643.06
2007-06,AC,99.0,17.0,5.82,17.21,1376.4,149.9,-,-,19.95,31.12,19.09,82.79,0.55,91.02,483.35,0.46,339.84,537.17,581.53,608.67,373.59,229.3,171.05,286.63,352.53
2007-07,AC,227.0,21.0,10.81,22.0,4465.6,201.2,-,-,54.85,31.09,18.36,79.6,0.63,100.0,520.37,0.69,330.05,366.22,462.94,544.75,181.98,210.77,152.21,233.97,259.09
2007-08,AC,2863.0,22.0,130.14,36.74,83580.8,673.2,-,-,44.35,32.55,18.2,74.38,0.84,111.51,551.42,0.69,320.86,330.42,435.77,441.6,154.73,211.5,136.47,213.94,204.74
2007-09,AC,7236.0,22.0,328.91,34.27,204093.6,1035.8,-,-,69.42,33.32,20.7,77.7,0.8,104.52,482.17,0.57,323.53,402.35,431.18,332.37,150.06,215.4,137.6,229.83,208.24
2007-10,AC,1315.0,22.0,59.77,34.48,34169.8,506.5,-,-,168.33,32.57,22.1,81.86,0.67,113.83,517.91,0.75,361.87,633.02,487.4,332.64,194.09,240.98,169.94,266.95,248.14
2007-11,AC,65.0,20.0,3.25,17.31,796.2,43.6,-,-,181.78,31.44,22.12,85.4,0.52,101.54,464.7,0.75,432.07,837.22,681.07,366.08,329.55,273.47,245.62,363.55,361.8
2007-12,AC,5.0,3.0,1.67,19.06,0.0,38.78,-,-,246.33,30.63,22.2,86.15,0.48,100.94,467.85,0.69,394.89,882.3,966.12,601.0,660.5,290.45,263.07,433.44,706.49
2008-01,AC,7.0,4.0,1.75,20.8,0.0,33.95,-,-,274.0,30.06,22.11,87.28,0.43,95.04,441.64,0.62,441.49,937.15,929.71,747.48,1004.66,308.55,270.85,456.44,871.82
2008-02,AC,5.0,4.0,1.25,22.55,0.0,29.12,-,-,193.63,30.2,22.02,86.72,0.45,88.01,405.11,0.71,442.59,945.55,1015.21,735.33,1053.78,378.14,492.63,694.97,1114.61
2008-03,AC,5.0,4.0,1.25,24.3,24.3,24.3,-,-,220.09,29.83,21.89,87.69,0.41,91.14,427.74,0.64,430.1,898.45,1023.56,632.91,1178.68,353.8,328.68,540.11,900.78
2008-04,AC,4.0,4.0,1.0,6.7,6.7,6.7,-,-,165.71,30.15,21.63,86.71,0.45,94.39,459.49,0.64,452.32,903.1,944.88,669.75,1010.51,393.36,440.07,649.79,999.32
